OBJECTID_1,SRA,INCORP,HAZ_CODE,HAZ_CLASS,VH_REC,SHAPE_LENG,OBJECTID,FID_C19FHS,FHSZ_LYR,SHAPEAREA,SHAPELEN
59,LRA,Y,3,Very High, ,13111.1157381,65,101,LRA,5513083.6034885,15853.3581608529
60,LRA,Y,3,Very High, ,9696.9839718,66,102,LRA,1629124.39656998,11733.6016228216
61,LRA,Y,3,Very High, ,242301.757183,67,103,LRA,433182022.05659,292969.443530478
62,LRA,Y,3,Very High, ,5418.88476104,68,104,LRA,568318.14483116,6560.91529087088
63,LRA,Y,3,Very High, ,3386.26275195,69,105,LRA,557671.350081195,4099.40465147687
64,LRA,Y,3,Very High, ,190199.099369,70,106,LRA,118676659.41383,230089.505276413
65,LRA,Y,3,Very High, ,6391.41166655,71,107,LRA,1067663.54237839,7738.14503188359
66,LRA,Y,3,Very High, ,16993.995117,72,108,LRA,6869600.78681072,20579.7240351852
67,LRA, ,3,Very High, ,3599.74096849,32,34,LRA,505500.13869581,4356.05746761464
68,LRA, ,3,Very High, ,4.13476783,33,39,LRA,0.01565556,4.99592555379515
69,LRA, ,3,Very High, ,3733.78972557,96,-1,LRA,197.75037141,4539.74288438338
70,LRA, ,3,Very High, ,72090.86943,97,-1,LRA,547497.283071355,87195.9543155034
71,LRA, ,3,Very High, ,4022.23238642,98,11,LRA,930890.12829076,4859.2066838024
72,LRA, ,3,Very High, ,2992.39015919,34,40,LRA,579269.71890529,3623.09344091428
73,LRA, ,3,Very High, ,4155.44307176,35,41,LRA,645331.84070281,5025.39134163115
74,LRA, ,3,Very High, ,123.41935327,36,43,LRA,0.20104136,149.295247061378
75,LRA, ,3,Very High, ,21.87332336,37,54,LRA,0.110999485,26.6032103408333
76,LRA,Y,3,Very High, ,17114.1099872,38,73,LRA,11345093.3606585,20526.5209617937
77,LRA,Y,3,Very High, ,1955.20981144,39,74,LRA,174477.687785505,2351.29933771354
78,LRA,Y,3,Very High, ,60469.552239,40,75,LRA,93163566.3330867,72815.1123990031
79,LRA,Y,3,Very High, ,3585.49833411,41,76,LRA,447468.70602761,4326.85934333595
80,LRA,Y,3,Very High, ,7373.23644984,48,83,LRA,1459800.74035461,8906.42326603389
81,LRA,Y,3,Very High, ,15550.7374408,49,84,LRA,4103747.38416839,18785.3350189219
82,LRA,Y,3,Very High, ,3191.37906061,50,85,LRA,500812.393175535,3859.23620913311
83,LRA,Y,3,Very High, ,7311.2340265,42,77,LRA,2086765.08385954,8824.49214801883
84,LRA,Y,3,Very High, ,1812.62752702,43,78,LRA,208644.95081954,2189.95681918296
85,LRA,Y,3,Very High, ,3699.51279529,44,79,LRA,512717.500367485,4465.51164251387
86,LRA,Y,3,Very High, ,2290.50489591,45,80,LRA,283936.807913585,2767.65630518605
87,LRA,Y,3,Very High, ,29447.7532837,46,81,LRA,10088516.3008687,35555.3589479308
88,LRA,Y,3,Very High, ,66508.6835946,47,82,LRA,32046125.1959835,80273.7047568449
89,LRA,Y,3,Very High, ,83598.2359909,51,86,LRA,69281912.2424786,100908.445157067
90,LRA,Y,3,Very High, ,42303.1571804,53,88,LRA,10471533.5774198,51106.1839862618
91,LRA,Y,3,Very High, ,3649.37772042,52,87,LRA,687384.35396759,4410.90194930604
92,LRA,Y,3,Very High, ,14207.76743,54,89,LRA,6198803.36664361,17164.6140646728
93,LRA,Y,3,Very High, ,2232.82678236,55,90,LRA,311786.709631495,2699.17000957592
94,LRA, ,3,Very High, ,1308.31234453,99,16,LRA,89083.09205322,1582.95367326838
95,LRA, ,3,Very High, ,1984.235098,100,18,LRA,178935.6252311,2396.61345699828
96,LRA, ,3,Very High, ,3602.02514141,101,19,LRA,665330.87530289,4356.25672279148
97,LRA, ,3,Very High, ,1763.46726816,102,20,LRA,150900.19018,2132.93080196992
98,LRA, ,3,Very High, ,1506.61792751,103,22,LRA,185796.89016524,1822.59065830584
99,LRA, ,3,Very High,,3831.19323446,,,LRA,565865.98822009,4841.9934219781
100,LRA, ,3,Very High,,24869.5034628,,,LRA,5672723.31738107,31463.106512276
101,LRA, ,3,Very High,,723.28669818,,,LRA,39323.29622077,915.095537477282
102,LRA,Y,3,Very High,,4790.36163142,,,LRA,1050712.64159905,6052.50776148974
103,LRA, ,3,Very High, ,3851.11168552,104,24,LRA,616109.604677575,4656.31955227319
104,LRA, ,3,Very High, ,10711.9477848,105,33,LRA,2916565.06056585,12969.7828683992
105,LRA, ,3,Very High, ,806.23867141,106,35,LRA,44925.111898,976.338192209294
106,LRA, ,3,Very High, ,2072.85281778,107,36,LRA,119836.436265585,2507.44719492076
107,LRA, ,3,Very High, ,18149.2929748,108,37,LRA,3603978.01800193,21965.0323096808
108,LRA, ,3,Very High, ,7979.21558879,109,38,LRA,1455773.71342917,9662.37086204842
109,LRA, ,3,Very High, ,1624.76907489,110,39,LRA,31899.88479587,1963.41672157562
110,LRA, ,3,Very High, ,13118.289845,111,42,LRA,5115652.77376368,15896.7890967425
111,LRA, ,3,Very High, ,3048.65452388,112,43,LRA,317364.45678517,3692.59389271676
112,LRA, ,3,Very High, ,3107.12032077,113,44,LRA,49148.14140644,3769.02334926668
113,LRA, ,3,Very High, ,4538.83060804,114,45,LRA,1255330.11735084,5500.82061413258
114,LRA, ,3,Very High, ,2531.02874079,115,46,LRA,484306.979731095,3067.33881643232
115,LRA, ,3,Very High, ,5011.9232014,116,47,LRA,39963.79866955,6088.42996548049
116,LRA, ,3,Very High, ,4476.00830425,117,48,LRA,852845.22018214,5429.41143898266
117,LRA, ,3,Very High, ,1606.06403845,118,49,LRA,47659.72446339,1945.86369300163
118,LRA, ,3,Very High, ,5584.76854208,119,50,LRA,555142.847926475,6772.84100191452
119,LRA, ,3,Very High, ,19594.027377,120,51,LRA,2748734.33847947,23767.1364342971
120,LRA, ,3,Very High, ,8706.65591025,121,52,LRA,1753298.01647547,10563.0313859298
121,LRA, ,3,Very High, ,3146.81553766,122,53,LRA,292523.16105204,3817.95020328376
122,LRA, ,3,Very High, ,2592.61205761,123,54,LRA,117816.723952945,3144.34813040951
123,LRA, ,3,Very High, ,18045.9237366,124,55,LRA,5192182.76755246,21905.3708645579
124,LRA, ,3,Very High, ,2344.12996619,125,56,LRA,211687.226504735,2845.41578068272
125,LRA, ,3,Very High, ,1724.35801874,126,57,LRA,155279.825036975,2094.03903377909
126,LRA, ,3,Very High, ,993.37314054,127,58,LRA,29985.42775422,1205.98667887049
127,LRA,Y,3,Very High, ,10389.7418845,79,115,LRA,3535538.85994097,12610.5723402939
128,LRA,Y,3,Very High, ,108927.652415,80,116,LRA,41520028.6055308,132222.25330825
129,LRA,Y,3,Very High, ,12002.4035307,81,117,LRA,2136181.1580509,14578.1290549031
130,LRA,Y,3,Very High, ,1054.77117799,82,118,LRA,59235.838013565,1280.31548700341
131,LRA,Y,3,Very High, ,71347.3788032,83,119,LRA,95339742.8831707,86748.1074738599
132,LRA, ,3,Very High,Very High,964.19356725,84,-1,LRA,39940.32535563,1166.08151237193
133,LRA, ,3,Very High,Very High,1828.48484326,85,-1,LRA,16954.03666716,2211.45072280334
134,LRA, ,3,Very High, ,11.70292118,86,-1,LRA,0.151115065,14.1257201114053
135,LRA, ,3,Very High, ,12254.9812723,87,-1,LRA,1521232.16053121,14821.3512255305
136,LRA, ,3,Very High, ,1219.66788087,88,-1,LRA,17916.56695213,1475.56028792321
137,LRA, ,3,Very High, ,4963.77278753,89,-1,LRA,116065.72811856,6029.44049238844
138,LRA, ,3,Very High, ,75767.7157136,90,-1,LRA,3183630.67033254,91934.5624254105
139,LRA, ,3,Very High, ,62.04528208,91,-1,LRA,0.086354325,75.2412801751128
140,LRA, ,3,Very High, ,12521.20054,92,-1,LRA,397417.590693345,15204.2555052471
141,LRA, ,3,Very High, ,112.73201455,93,-1,LRA,128.743893085,136.285451747584
142,LRA, ,3,Very High, ,414.10601742,94,-1,LRA,0.39945763,494.822034315807
143,LRA, ,3,Very High, ,7099.52367047,95,-1,LRA,9742.858943105,8585.5441203544
144,LRA, ,3,Very High, ,7063.39037462,128,59,LRA,891697.87274052,8577.03824015722
145,LRA, ,3,Very High, ,1875.78668513,129,60,LRA,119759.70105503,2277.12775357802
146,LRA, ,3,Very High, ,2683.99089537,130,61,LRA,266213.37591587,3259.06533798729
147,LRA, ,3,Very High,,9288.89422129,,,LRA,646447.23468995,11776.378851513
148,LRA, ,3,Very High,,3004.70482041,,,LRA,163850.085024795,3817.89909664344
149,LRA,Y,3,Very High,,28301.4758006,,,LRA,10579083.6572661,35901.8621938647
150,LRA,Y,3,Very High,,33267.9281146,,,LRA,11118720.4145458,42283.4479202931
151,LRA,Y,3,Very High,,1369.80900543,,,LRA,106572.443587325,1767.45143136041
152,LRA,Y,3,Very High,,900.42352213,,,LRA,65933.09223907,1161.68464497431
153,LRA,Y,3,Very High,,2970.28565847,,,LRA,337272.19780049,3703.23300437841
154,LRA,Y,3,Very High,,21552.766773,,,LRA,6657358.94541338,26864.6999880196
155,LRA,Y,3,Very High,,5846.03933398,,,LRA,573624.499885235,7289.80981205493
156, , ,0, ,,0,,,LRA,0,0
157, , ,0, ,,0,,,LRA,0,0
158, , ,0, ,,0,,,LRA,0,0
159, , ,0, ,,0,,,LRA,0,0
160,LRA,Y,3,Very High,,7453.48819402,,,LRA,2451097.50350312,9619.08991042921
161,LRA,Y,3,Very High,,1201.49528706,,,LRA,111140.269706715,1555.24290598757
162,LRA, ,3,Very High,,1668.83831672,,,LRA,68105.09298561,2113.13045347666
163,LRA,Y,3,Very High,,5940.99351752,,,LRA,1913920.40588638,7507.47477731203
164,LRA, ,3,Very High,,2088.534173,,,LRA,49952.045179505,2598.85134304028
165,LRA, ,3,Very High,,26751.0649316,,,LRA,7998474.04338768,33309.9364152886
166,LRA, ,3,Very High,,2436.65722096,,,LRA,171970.86362009,3034.68146715402
167,LRA, ,3,Very High,,17902.5280119,,,LRA,3237251.02136422,22307.1173964382
168,LRA, ,3,Very High,,6641.45587447,,,LRA,1726911.52487552,8275.69989127982
169,LRA, ,3,Very High,,13296.0372646,,,LRA,7805692.56269678,16567.132945959
170,LRA, ,3,Very High,,7297.82696683,,,LRA,826992.313158195,9098.32091024073
171,LRA, ,3,Very High,,3742.73814598,,,LRA,349798.828694015,4665.11430762986
172,LRA, ,3,Very High,,5114.45634533,,,LRA,947540.776863025,6377.84153095725
173,LRA, ,3,Very High,,2996.40438834,,,LRA,283041.21506453,3737.50776738781
174,LRA, ,3,Very High,,2500.02905187,,,LRA,106376.721813045,3118.4200811682
175,LRA, ,3,Very High,,1230.99675854,,,LRA,80704.2149018,1540.03211248947
176,LRA,Y,3,Very High,,9333.42582826,,,LRA,1512998.28662732,11631.7548466292
177,LRA, ,3,Very High, ,4772.08555016,131,62,LRA,611779.25333117,5794.06183184289
178,LRA, ,3,Very High, ,22044.8042023,132,63,LRA,2846816.00818401,26770.5785961525
179,LRA, ,3,Very High, ,5288.41654748,133,64,LRA,549828.356742525,6422.87070803047
180,LRA, ,3,Very High, ,6717.19526919,134,65,LRA,824339.271696165,8154.3470664223
181,LRA, ,3,Very High, ,4542.70986836,135,66,LRA,865771.365934505,5515.13817892659
182,LRA, ,3,Very High, ,10089.7186748,136,67,LRA,2354631.64353996,12248.369284782
183,LRA, ,3,Very High, ,15058.5248138,137,68,LRA,2996537.03780836,18289.4816124007
184,LRA, ,3,Very High, ,6904.42122354,139,70,LRA,1081709.86903204,8383.66106414251
185,LRA, ,3,Very High, ,2225.4069515,140,71,LRA,179664.941754625,2706.42385944512
186,LRA,Y,3,Very High, ,108.72123389,152,106,LRA,0.291646595,131.474645081988
187,LRA,Y,3,Very High, ,803.24711916,153,107,LRA,1.932624815,972.684765040201
188,LRA,Y,3,Very High, ,45.67705414,154,110,LRA,0.255669435,55.2465370449777
189,LRA,Y,3,Very High, ,1842.87543988,155,111,LRA,6.21119727,2232.59078704066
190,LRA,Y,3,Very High, ,3.13941877,156,112,LRA,0.00754177,3.81263724580593
191,LRA,Y,3,Very High, ,669.63938017,157,113,LRA,2.74006885,811.729403866394
192,LRA,Y,3,Very High, ,2499.45793972,158,114,LRA,7.454807135,3028.92316112464
193,LRA,Y,3,Very High, ,7579.56567781,159,116,LRA,33.821516495,9206.30596056428
194,LRA,Y,3,Very High, ,785.81190081,160,117,LRA,1.102248985,953.923150595462
195,LRA,Y,3,Very High, ,41.13940269,161,118,LRA,0.078545615,49.8718975131567
196,LRA, ,3,Very High,,8342.75886012,,,LRA,1651368.29371794,10536.7482146217
197,LRA, ,3,Very High, ,5013.10561026,138,69,LRA,602385.115003935,6086.6673329185
198,LRA, ,3,Very High, ,23683.0521408,141,72,LRA,3781741.08515168,28768.0924566752
199,LRA,Y,3,Very High, ,9041.37127067,142,73,LRA,18.581688675,10818.381048922
200,LRA,Y,3,Very High, ,1558.03249788,143,75,LRA,4.553346045,1875.93688610919
201,LRA,Y,3,Very High, ,2808.5459431,144,86,LRA,11.585327565,3399.41853650463
202,LRA,Y,3,Very High,Very High,7732.61374424,145,94,LRA,2776106.23578336,9352.09492869571
203,LRA,Y,3,Very High, ,95.78890301,146,94,LRA,299.57813109,116.025326901583
204,LRA,Y,3,Very High,Very High,7848.42404286,147,96,LRA,2276649.49334188,9493.258593268
205,LRA,Y,3,Very High, ,338.64010955,148,96,LRA,2622.47948812,409.554753025405
206,LRA,Y,3,Very High, ,291.65663239,149,103,LRA,1.5611585,353.440830650476
207,LRA,Y,3,Very High, ,7.15684442,150,106,LRA,0.346073065,8.64204020414958
208,LRA,Y,3,Very High, ,6273.82810151,151,106,LRA,1180416.74363417,7587.75217103023
209,LRA,Y,3,Very High,,16788.3113006,,,LRA,6817203.73657329,21223.3667516661
210,LRA,Y,3,Very High,,109648.356872,,,LRA,81201542.0010461,138901.091521547
211,LRA, ,3,Very High,,3746.46758304,,,LRA,388558.95259151,4750.58266174185
212,LRA,Y,3,Very High,,16028.0479788,,,LRA,8285743.22909683,20718.1052950146
213,LRA,Y,3,Very High,,3051.42614721,,,LRA,740132.559689035,3942.43726313911
214,LRA,Y,3,Very High,,101820.819651,,,LRA,59188361.2749371,131705.608114514
215,LRA,Y,3,Very High,,28224.9143043,,,LRA,14294110.6496711,36531.417504731
216,LRA, ,3,Very High,,920.74871279,,,LRA,30709.238859465,1111.28002130417
217,LRA, ,3,Very High,,2616.58863132,,,LRA,289121.133576065,3158.6410293546
