OBJECTID,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,ALARM_DATE,CONT_DATE
12991,1996,CA,BEU,00000000,PG&E #13,CDF,,14,00002890,1,,,757.64459229,1996/06/23 00:00:00+00,1970/01/01 00:00:00+00
12992,2000,NV,TOI,00000028, ,USF,,1,00000000,1,,,45.74552155,2000/06/28 00:00:00+00,1970/01/01 00:00:00+00
12993,2000,NV,TOI,00000000, ,USF,,1,00000000,1,,,2786.125,2000/08/01 00:00:00+00,1970/01/01 00:00:00+00
12994,2000,NV,TOI,00000000, ,USF,,8,00000000,1,,,18.43774414,2000/07/04 00:00:00+00,1970/01/01 00:00:00+00
12995,2000,NV,TOI,00000026, ,USF,,1,00000000,1,,,9.91404247,2000/06/25 00:00:00+00,1970/01/01 00:00:00+00
12996,2000,NV,TOI,00000000, ,USF,,14,00000000,1,,,100.57896423,2000/08/12 00:00:00+00,1970/01/01 00:00:00+00
12997,2000,NV,TOI,00000000, ,USF,,1,00000000,1,,,44.53387833,2000/08/01 00:00:00+00,1970/01/01 00:00:00+00
12998,2000,NV,TOI,00000085, ,USF,,1,00000000,1,,,38.24440765,2000/08/04 00:00:00+00,1970/01/01 00:00:00+00
12999,2000,NV,TOI,00000000, ,USF,,2,00000000,1,,,546.16174316,2000/06/27 00:00:00+00,1970/01/01 00:00:00+00
13000,1999,CA,LNF,00000109,TOAD,USF,8,1,00000000,1,,17,4.44119835,1999/08/27 00:00:00+00,1999/09/05 00:00:00+00
13001,1996,CA,LNF,00000052,CORDERS,USF,8,1,00000000,1,,2,2.11264396,1996/08/26 00:00:00+00,1996/08/29 00:00:00+00
13002,1999,CA,LNF,00000053,CINDER,USF,8,9,00000000,1,,218,781.81469727,1999/08/17 00:00:00+00,1999/08/22 00:00:00+00
13003,1999,CA,LNF,00000008,DOW,USF,8,9,00000000,1,,80,79.51430511,1999/05/28 00:00:00+00,1999/05/29 00:00:00+00
13004,1999,CA,LNF,00000074,ROCK 2,USF,8,1,00000000,1,,45,24.02054977,1999/08/23 00:00:00+00,1999/08/28 00:00:00+00
13005,1999,CA,LNF,00000081,JONES,USF,,1,00000000,1,,,5.53351688,1999/08/23 00:00:00+00,1970/01/01 00:00:00+00
13006,2000,CA,LMU,00000000,DEVIL,CDF,,14,00001570,1,,,114.02966309,2000/07/15 00:00:00+00,1970/01/01 00:00:00+00
13007,1971,CA,LPF,00000092,ROMERO,USF,8,7,00000000,1,,14538,15649.52246094,1971/10/06 00:00:00+00,1971/10/16 00:00:00+00
13008,1953,CA,LPF,00000014,BIG DALTON,USF,,9,00000000,1,,,67702.046875,1953/07/10 00:00:00+00,1970/01/01 00:00:00+00
13009,1932,CA,LPF,00000023,MATILIJA,USF,,9,00000000,1,,,219999.28125,1932/09/07 00:00:00+00,1970/01/01 00:00:00+00
13010,1985,CA,VNC,00000459,WHEELER #2,CCO,8,9,00007574,1,,119361,122686.8828125,1985/07/01 00:00:00+00,1985/07/19 00:00:00+00
13011,1925,CA,LPF,00000201, ,USF,,14,00000000,1,,,8623.86425781,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13012,1913,CA,VNC,00000000,RINCON CREEK,CCO,,14,00000000,1,,,1759.69042969,1913/10/01 00:00:00+00,1970/01/01 00:00:00+00
13013,1995,CA,NOD,0000D463,DEMO,BLM,8,2,00000000,1,,639,446.66848755,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13014,1996,CA,NOD,0000U641,RAVE,BLM,8,1,00000000,1,,75,139.61642456,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13015,1996,CA,NOD,0000U617,OBSERVA,BLM,8,2,00000000,1,,15,31.99917793,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13016,1986,CA,CCD,0000D351,LAVER,BLM,8,2,00000000,1,,125,812.76306152,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13017,1974,CA,CNF,00000054,SAN VICENTE,USF,8,7,00000000,1,,80,67.66194916,1974/07/21 00:00:00+00,1974/07/22 00:00:00+00
13018,1974,CA,CNF,00000094,MONTE,USF,8,7,00000000,1,,303,303.0670166,1974/08/31 00:00:00+00,1974/09/01 00:00:00+00
13019,1970,CA,CNF,00000044,EL MONTE,USF,8,8,00000000,1,,130,196.35794067,1970/07/13 00:00:00+00,1970/07/14 00:00:00+00
